"cluid_mukey"	"profit12"	"profit14"
"2101303410372"	"420.27"	"-91.87"
"2101303410381"	"273.73"	"-166.75"
"2101303410383"	"252.84"	"-177.46"
"2101303410408"	"441.16"	"-81.16"
"2101304410366"	"432.77"	"-78.85"
"2101304410368"	"160.70"	"-217.92"
"2101304410370"	"369.97"	"-116.30"
"2101304410372"	"432.77"	"-78.85"
"2101304410381"	"286.23"	"-153.73"
"2101304410383"	"265.34"	"-164.44"
"2101304410404"	"380.42"	"-105.59"
"2101304410408"	"453.66"	"-68.14"
"2101305410368"	"126.52"	"-253.50"
"2101305410370"	"335.79"	"-151.88"
"2101305410381"	"252.05"	"-189.31"
"2102105410366"	"450.98"	"-124.48"
"2102105410368"	"178.06"	"-263.55"
"2102105410370"	"387.99"	"-161.93"
"2102105410372"	"450.98"	"-124.48"
"2102105410374"	"377.45"	"-167.26"
"2102105410404"	"398.47"	"-151.22"
"2102105410408"	"471.93"	"-113.77"
"2102105410410"	"209.55"	"-247.49"
"2102106410366"	"470.98"	"-103.66"
"2102106410370"	"407.99"	"-141.11"
"2102106410374"	"397.45"	"-146.44"
"2648310410390"	"400.76"	"-26.83"
"2648310410404"	"348.41"	"-48.79"
"2648310410410"	"160.09"	"-127.86"
"2648345410366"	"441.95"	"-69.31"
"2648345410372"	"441.95"	"-69.31"
"2648345410374"	"368.65"	"-112.09"
"2648345410380"	"180.33"	"-203.03"
"2648345410383"	"274.52"	"-154.90"
"2648345410384"	"159.38"	"-213.74"
"2648345410386"	"274.52"	"-154.90"
"2648345410392"	"-81.23"	"-336.75"
"2648345410393"	"-112.62"	"-352.79"
"2648345410398"	"504.68"	"-37.21"
"2648345410400"	"389.60"	"-96.05"
"2648345410404"	"389.60"	"-96.05"
"2648345410407"	"389.60"	"-96.05"
"2648345410408"	"462.84"	"-58.60"
"2648345410409"	"201.28"	"-192.32"
"2648345410410"	"201.28"	"-192.32"
"2648345410411"	"232.68"	"-176.29"
"2648345410412"	"201.28"	"-192.32"
"2648345410420"	"305.92"	"-138.83"
"2648346410366"	"209.41"	"10.27"
"2648346410368"	"45.00"	"-103.88"
"2648346410372"	"209.41"	"10.27"
"2648346410380"	"57.67"	"-95.14"
"2648346410386"	"108.20"	"-59.97"
"2648346410392"	"-106.61"	"-209.28"
"2648346410404"	"177.74"	"-11.69"
"2648346410407"	"177.74"	"-11.69"
"2648346410408"	"215.61"	"19.01"
"2648346410410"	"64.00"	"-90.76"
"2648346410417"	"127.21"	"-46.85"
"2648346410420"	"127.21"	"-46.85"
"2648348410388"	"404.79"	"-39.77"
"2648348410389"	"383.83"	"-50.52"
"2648348410404"	"373.39"	"-55.91"
"2648348410410"	"185.07"	"-152.80"
"2648348410411"	"216.47"	"-136.66"
"2648349410366"	"436.83"	"-17.44"
"2648349410368"	"164.76"	"-157.42"
"2648349410388"	"415.88"	"-28.22"
"2648349410389"	"394.92"	"-38.97"
"2648349410392"	"-86.35"	"-286.63"
"2648349410404"	"384.48"	"-44.36"
"2648349410410"	"196.16"	"-141.25"
"2648349410411"	"227.56"	"-125.11"
"2648349410416"	"133.37"	"-178.95"
"2648350410366"	"166.00"	"-34.91"
"2648350410372"	"166.00"	"-34.91"
"2648350410374"	"115.33"	"-70.08"
"2648350410392"	"-150.02"	"-254.46"
"2648350410404"	"134.33"	"-56.87"
"2648350410408"	"172.20"	"-26.17"
"2648350410410"	"20.59"	"-135.94"
"2648350410417"	"83.80"	"-92.03"
"2648350410420"	"83.80"	"-92.03"
"2648351410369"	"15.02"	"-122.00"
"2648351410371"	"166.63"	"-16.69"
"2648351410372"	"217.30"	"18.48"
"2648351410374"	"166.63"	"-16.69"
"2648351410375"	"147.77"	"-29.81"
"2648351410408"	"223.50"	"27.22"
"2648351410412"	"71.89"	"-82.55"
"2648352410372"	"521.14"	"5.73"
"2648352410374"	"447.61"	"-37.33"
"2648352410399"	"563.11"	"27.26"
"2648352410412"	"279.71"	"-118.08"
"2648355410366"	"213.70"	"14.74"
